,PMCID,sentence_id,CONSORT_Item,labels,section,text,metamap_concepts,metamap_concepts_text,metamap_semantictypes
10,PMC3002766,S57,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Randomisation and interventions,patients received bosentan 62.5 mg twice daily for 4 weeks and then 125 mg twice daily for the remainder of the treatment period or matching placebo.,"['C0439531', 'C0087111', 'C1522326', 'C0032042', 'C1708943', 'C3887704', 'C1442465', 'C1705169', 'C0039798', 'C3538994', 'C0030705', 'C1706408', 'C1515981', 'C0150103', 'C1696465', 'C1883708', 'C0585361', 'C1533734', 'C1948053']","['Period (temporal qualifier)', 'placebo', 'Placebo Control', 'treatment - ActInformationManagementReason', 'Treating', '4 Weeks', 'Treatment Epoch', 'And', 'Match', 'Placebos', 'therapeutic aspects', 'Patients', 'Then', 'Twice a day', 'per period (qualifier value)', 'Biomaterial Treatment', 'MATCHING', 'Administration procedure', 'Therapeutic procedure']","['tmco', 'bodm', 'topp', 'idcn', 'hlca', 'qlco', 'resa', 'podg', 'ftcn', 'cnce']"
11,PMC3002766,S58,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Randomisation and interventions,"the dose could remain at or be decreased to the starting dose due to intolerance, with possible subsequent increase to the target dose.","['C2986546', 'C0332282', 'C0332287', 'C0332149', 'C1705910', 'C2355652', 'C0178602', 'C0231199', 'C1744706', 'C0678226', 'C1521840', 'C0442805']","['Increase', 'intolerance to substance', 'In addition to', 'Following', 'Intolerance - biological effect of chemicals', 'Target', 'Due to', 'Possibly Related to Intervention', 'Dosage', 'intolerance function', 'Target Lesion Identification', 'Possible']","['tmco', 'fndg', 'qnco', 'qlco', 'orga', 'orgf', 'ftcn', 'diap']"
12,PMC3002766,S59,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Randomisation and interventions,"concomitant use of systemic antibiotics, analgaesics and topical treatments for wound care were allowed, and randomised treatment was administered in addition to the usual, stable (over the previous month) treatment for raynaud's phenomenon.","['C0521115', 'C0205373', 'C3540709', 'C0205156', 'C3538994', 'C3540710', 'C1883712', 'C0886052', 'C0205136', 'C3540707', 'C1533734', 'C0087111', 'C3887704', 'C1882365', 'C1705169', 'C1272654', 'C0039798', 'C3540706', 'C0332177', 'C0042153', 'C0332237', 'C0332287', 'C1547311', 'C0003237', 'C0003232', 'C0347984', 'C3540705', 'C3540708', 'C0457083', 'C1522326', 'C0439231', 'C1552607', 'C3540704', 'C0205360', 'C1515981', 'C3538928']","['In addition to', 'Systemic', 'Antibiotics, Gynecological', 'Antifungal Antibiotics, Topical', 'And', 'utilization qualifier', 'Stable status', 'antibiotics, intestinal', 'Antibiotics FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE', 'Simultaneous', 'month', 'Patient Condition Code - Stable', 'Topical surface', 'Treatment Epoch', 'Antibiotics, Antitubercular', 'Antibiotics, ophthalmologic', 'Biomaterial Treatment', 'Administration procedure', 'Antibiotics for systemic use', 'Phenomenon', 'wound care', 'Monthly (qualifier value)', 'During', 'Antibiotic throat preparations', 'Act Relationship Subset - previous', 'Antibiotics', 'Wound care management', 'treatment - ActInformationManagementReason', 'Treating', 'Over (spatial)', 'Usage', 'therapeutic aspects', 'Usual', 'Add - instruction imperative', 'Previous', 'Therapeutic procedure']","['tmco', 'antb', 'topp', 'hlca', 'idcn', 'inpr', 'qlco', 'phpr', 'spco', 'resa', 'ftcn', 'cnce']"
13,PMC3002766,S60,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Randomisation and interventions,"patients who required parenteral, oral or inhaled prostanoid treatment during the study were first discontinued from study treatment.","['C0087111', 'C3272598', 'C1521826', 'C2603343', 'C0205435', 'C1522326', 'C1444662', 'C3887704', 'C0442027', 'C1705169', 'C1279901', 'C0039798', 'C3538994', 'C0030705', 'C0033554', 'C1517320', 'C1533734', 'C0004048', 'C0030547']","['Inspiration function', 'Firstly', 'Parenteral Nutrition', 'treatment - ActInformationManagementReason', 'First (number)', 'Treating', 'WHO Temperature/Humidity Storage Condition', 'Treatment Epoch', 'Protocol Agent', 'therapeutic aspects', 'Patients', 'Discontinued', 'From', 'Prostaglandins', 'Biomaterial Treatment', 'Oral', 'Study', 'Administration procedure', 'Therapeutic procedure']","['fndg', 'resa', ' orch', 'topp', 'hlca', 'inpr', 'qlco', 'qnco', 'orgf', 'spco', 'podg', 'ftcn', 'horm', ' phsu', 'cnce']"
14,PMC3002766,S61,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Randomisation and interventions,"use of glibenclamide, fluconazole, calcineurin inhibitors or ciclosporin a was not allowed due to potential drug interactions.","['C0687133', 'C1518422', 'C0017628', 'C3146286', 'C0678226', 'C3245505', 'C0042153', 'C2757068', 'C0457083', 'C0010592', 'C1562036']","['Calcineurin inhibitor', 'Glyburide', 'Drug Interactions', 'potential', 'Usage', 'Due', 'Due to', 'Calcineurin Inhibitors [MoA]', 'utilization qualifier', 'Cyclosporine', 'Negation']","['idcn', 'orch', 'qlco', 'aapp', 'ftcn', ' phsu', 'moft', 'patf', 'phsu']"
15,PMC3002766,S63,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outcomes,the two primary end points were (1) the mean number of new dus per patient assessed by the investigator up to week 24 and (2) the time to healing of the cardinal ulcer up to week 24 in patients with cardinal ulcer healing maintained for 12 or more weeks.,"['C0237753', 'C0205225', 'C0439230', 'C0043240', 'C0333293', 'C0449788', 'C4281991', 'C0030705', 'C0205448', 'C0205172', 'C0205314', 'C1516048', 'C2700598', 'C0332287', 'C2348143', 'C3887532', 'C0547043', 'C0444930', 'C0444504', 'C0013261', 'C0035173', 'C0326926', 'C0041582', 'C2746065', 'C0040223', 'C1515981', 'C2347634', 'C3887962']","['Cardinalis cardinalis', 'In addition to', 'Per (qualifier)', 'And', 'Sample Mean', 'Time', 'Count of entities', 'Population Mean', 'Assessed', 'Follow', 'Wound Healing', 'Ulceration', 'Up', 'Two', 'More', 'Argynnis pandora', 'End', 'Patients', 'Statistical mean', 'Numbers', 'Primary', 'Ulcer', 'Research Personnel', 'Healing ulcer', 'New', 'Stop (qualifier value)', 'week', 'Duane Retraction Syndrome']","['tmco', 'prog', 'idcn', 'qnco', 'qlco', 'dsyn', 'euka', 'spco', 'podg', 'ftcn', 'orgf', 'bird', 'acab', 'patf', 'acty']"
16,PMC3002766,S64,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outcomes,"healing was defined as complete epithelialisation, regardless of residual pain.","['C3641650', 'C0043240', 'C4085210', 'C1317977', 'C3853530', 'C0205197', 'C0518090', 'C4283785', 'C4553004', 'C1609982', 'C4554132', 'C0030193', 'C2984058', 'C4085211', 'C0334029', 'C4085212']","['Pain', 'How Much Distress Pain', 'Feel Pain', 'Have Pain', 'Usual Severity Pain', 'Regardless', 'Residual', 'Data operation - complete', 'Frequency of Pain Question', 'Epithelialization', 'Epithelial metaplasia', 'Pain Distress Question', 'Pain, CTCAE', 'Complete Pharyngeal Contraction', 'Wound Healing', 'Complete']","['fndg', 'ortf', 'inpr', 'sosy', 'qlco', 'orgf', 'ftcn', 'comd']"
17,PMC3002766,S65,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outcomes,maintenance of cardinal ulcer healing required no recurrence at or contiguous to the original location at week 24 (if healing occurred before or at week 12) or during 12 weeks of observation with permissible extension of the treatment period (if healing occurred after week 12).,"['C1515974', 'C0439230', 'C3538994', 'C0700325', 'C4284931', 'C0687676', 'C0205283', 'C0332152', 'C1533734', 'C0043240', 'C0087111', 'C0302523', 'C0333293', 'C3887704', 'C1705169', 'C0039798', 'C1458156', 'C0024501', 'C0439531', 'C0450429', 'C1880641', 'C2700598', 'C0332287', 'C0231448', 'C0347984', 'C2825055', 'C0326926', 'C4284930', 'C2347409', 'C0231290', 'C1522326', 'C1964257', 'C3889687', 'C0205313', 'C1709305', 'C1948053', 'C0034897']","['Cardinalis cardinalis', 'In addition to', 'Observation in research', 'Anatomic Site', 'Location of Pharyngeal Residue Following Swallowing', 'Recurrence', 'Post', 'Recurrent Malignant Neoplasm', 'Location', 'Period (temporal qualifier)', 'Treatment Epoch', 'contiguous', 'Before', 'Biomaterial Treatment', 'Clinical Observation', 'Wound Healing', 'Administration procedure', 'Recurrence (disease attribute)', 'Status post', 'Maintenance', 'Occur (action)', 'Argynnis pandora', 'Patient observation', 'During', 'Original Regulatory Submission', 'Original', 'treatment - ActInformationManagementReason', 'Observation - diagnostic procedure', 'Treating', 'Healing ulcer', 'therapeutic aspects', 'week', 'Location of Oral Residue Following Swallowing', 'per period (qualifier value)', 'Telephone Extension Number', 'Extension', 'Therapeutic procedure']","['tmco', 'blor', 'cnce', 'fndg', 'ocac', 'hlca', 'topp', 'qlco', 'phpr', 'acab', 'orgf', 'resa', 'euka', 'neop', 'diap', 'bird', 'ftcn', 'spco', 'patf', 'acty']"
18,PMC3002766,S66,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outcomes,"to verify that the effect of treatment would not vary substantially across relevant baseline subgroups, the number of new dus up to week 24 was additionally analysed in subgroups based on predefined baseline factors associated with disease severity.","['C0237753', 'C0168634', 'C3538994', 'C0439230', 'C1533734', 'C0087111', 'C2348382', 'C1518681', 'C3887704', 'C1705169', 'C0449788', 'C1280500', 'C2347946', 'C0039798', 'C0521117', 'C0205314', 'C1079230', 'C0013261', 'C2828360', 'C1518422', 'C1442488', 'C1522326']","['Effect, Appearance', 'Relevance', 'Count of entities', 'Treatment Epoch', 'Biomaterial Treatment', 'Baseline', 'Administration procedure', 'Traverse', 'Outcome of Therapy', 'Effect', 'Severity of illness', 'Negation', 'Numbers', 'BaseLine dental cement', 'treatment - ActInformationManagementReason', 'Treating', 'New', 'therapeutic aspects', 'Subgroup A Nepoviruses', 'week', 'Duane Retraction Syndrome', 'Therapeutic procedure']","['tmco', 'fndg', 'resa', 'virs', 'topp', 'hlca', 'qnco', 'qlco', 'dsyn', 'ftcn', 'bodm', 'cnce']"
19,PMC3002766,S67,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outcomes,"secondary and exploratory end points included: (1) reduction of new dus and overall du number (proportions of patients with no new dus and with each number of new dus up to week 24, time to onset of each number of new dus up to week 24 and change from baseline to week 24 in total number of all dus), (2) healing (time to healing of all baseline dus and of all new dus through week 24, and proportions of patients with healing of all dus by the end of week 24) and (3) pain and disability parameters (changes from baseline to week 24: in pain of the cardinal ulcer and overall hand pain assessed on visual analogue scales; hand disability index (an averaged score from the three health assessment questionnaire (haq) domains of dressing/grooming, grip and hygiene); and haq disability index18 19).","['C4085210', 'C1561607', 'C2986546', 'C1705241', 'C4318763', 'C0237753', 'C0042815', 'C0205449', 'C1882141', 'C0439230', 'C1830398', 'C0168634', 'C0392756', 'C0392747', 'C0102923', 'C4085212', 'C0231170', 'C0043240', 'C0020405', 'C0443172', 'C0282416', 'C0600653', 'C1293152', 'C0918012', 'C0518090', 'C0449788', 'C0021400', 'C0205436', 'C0030705', 'C0206132', 'C1457900', 'C0449820', 'C4554132', 'C0030193', 'C0205314', 'C4050231', 'C2700598', 'C0332287', 'C0018249', 'C3887532', 'C0451208', 'C0175668', 'C0547043', 'C0018563', 'C1550549', 'C4553004', 'C4551656', 'C4288115', 'C0332273', 'C0444930', 'C4319952', 'C2984058', 'C0444868', 'C0013261', 'C1517320', 'C0518461', 'C1552914', 'C0027627', 'C0326926', 'C0301630', 'C0041582', 'C1442488', 'C2746065', 'C0040223', 'C1515981', 'C1552854', 'C0332162', 'C4085211', 'C0220843', 'C4321404']","['Usually Need Help from Another Person for Hygiene', 'Usual Severity Pain', 'disability', 'Have Pain', 'Overall', 'Grooming Ability', 'In addition to', 'Cardinalis cardinalis', 'Through', 'hand - unit of measure', 'Hand', 'Html Link Type - index', 'And', 'Pain Distress Question', 'Each (qualifier value)', 'Surgical reduction', 'From', 'Grooming:-:Point in time:^Patient:-', 'Onset of (contextual qualifier)', 'Age of Onset', 'Grooming', 'Index', 'Influenza', 'Time', 'Count of entities', 'second (number)', 'Health assessment questionnaire', 'Reduction (chemical)', 'Changed status', 'Score', 'grasp', 'Baseline', 'Wound Healing', 'Ulceration', 'Hygiene', 'Up', 'Feel Pain', 'Neoplasm Metastasis', 'Changing', 'All', 'Reduced', 'Reduction procedure', 'Argynnis pandora', 'End', 'Patients', 'Change -- procedure', 'Overall Publication Type', 'Numbers', 'Pain', 'How Much Distress Pain', 'BaseLine dental cement', 'Grooming self-care', 'Ulcer', 'Frequency of Pain Question', 'Visual Analog Pain Scale', 'Secondary to', 'Stop (qualifier value)', 'New', 'Indexes', 'Pain, CTCAE', 'ADHD hyperactive symptoms mean score:Score:Pt:^Patient:Qn:Calculated', 'week', 'Act Relationship Checkpoint - through', 'Of Each', 'ametantrone', 'Delta (difference)', 'Total Number', 'Duane Retraction Syndrome', 'Three', 'Target Lesion Identification']","['topp', 'qnco', 'podg', 'bodm', 'patf', 'clna', 'fndg', 'npop', 'idcn', 'inpr', 'sosy', 'qlco', 'ftcn', 'bird', 'bpoc', 'tmco', 'inbe', 'orch', 'spco', 'euka', 'neop', 'bmod', 'dsyn', 'orgf', 'diap', ' phsu']"
20,PMC3002766,S68,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outcomes,"post hoc analyses included: (1) the number of new dus up to week 12 in the overall patient population and in subgroups defined by randomisation month (october–february or autumn–winter and march–september or spring–summer) and (2) number of new dus, time to each successive new du and total number of dus through week 24 in subgroups defined by the number of dus at baseline (<4 and ≥4).","['C1561607', 'C0237753', 'C0439230', 'C0168634', 'C0687676', 'C1257890', 'C0032659', 'C0282416', 'C1457900', 'C0449788', 'C0030705', 'C0332177', 'C0205314', 'C1704788', 'C1550549', 'C0547043', 'C1079230', 'C3469826', 'C4288115', 'C0332273', 'C0013261', 'C1442488', 'C0439231', 'C0040223', 'C1515981', 'C1704687']","['Overall', 'Through', 'Each (qualifier value)', 'And', 'geographic population', 'Definition', 'Post', 'month', 'Count of entities', 'Time', 'SLC35G1 gene', 'Baseline', 'Population Group', 'Up', 'Monthly (qualifier value)', 'Patients', 'Overall Publication Type', 'Numbers', 'BaseLine dental cement', 'Post Device', 'New', 'Act Relationship Checkpoint - through', 'Subgroup A Nepoviruses', 'week', 'Total Number', 'Duane Retraction Syndrome']","['tmco', 'virs', 'gngm', 'idcn', 'inpr', 'qlco', 'qnco', 'dsyn', 'spco', 'ftcn', 'podg', 'bodm', 'mnob', 'popg']"
