file_id,section,sentence,predicted_labels
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,The frequency with which β-agonist nebulization treatments were delivered was decreased if a patient's asthma score was 4 or less.,['0']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,Time zero was set as the time a patient was evaluated by a triage nurse in the ED.,['0']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"Length of hospital stay was defined in the following 2 ways: (1) as the time elapsed between time zero and the time the discharge order was written; and second, as the time elapsed between time zero and the time when nebulized β-agonists were changed from every 4 to every 6 hours.",['0']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"At the time of the study, a patient needed to be able to tolerate every 6-hour nebulization treatment before being discharged.",['0']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,The latter definition of length of stay was used because in some cases it may have more accurately reflected a patient's readiness for discharge.,['0']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"For example, a child may have been well enough to tolerate β-agonists given at 6-hour intervals beginning at midnight but could not be discharged until the morning pending the arrival of a parent.",['0']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"Complications of corticosteroids were evaluated by routine blood pressure monitoring, screening for the presence of abdominal pain, polyuria, and polydipsia.",['6a']
10200005,oral versus intravenous corticosteroid in child hospitalized with asthma,"If indicated, urine and serum glucose were measured, and stool was tested for occult blood.",['0']
10200005,statistical analysis,We assumed that there could be as great as a 2-day difference in length of hospitalization in patients receiving intravenous methylprednisolone versus oral prednisone.,['7a']
10200005,statistical analysis,Therefore we designed a study with adequate power for a conservative 1-day difference in length of hospital stay to increase sensitivity and allow for a potential overestimation of the difference.,['7a']
10200005,statistical analysis,"The 2 groups were compared by unpaired t tests for symmetrically distributed variables (age), Mann-Whitney U tests for skewed variables (including the major study outcomes), and chi-square tests for nonnumeric variables (gender and initial nebulization schedule).",['12a']
10200005,statistical analysis,"The power analysis, based on an estimated 1-day standard deviation of time until discharge, required a minimum of 22 patients per group to provide at least 90% power.",['7a']
10200005,statistical analysis,A 95% confidence interval was constructed for the mean differences in length of stay and time to 6-hour nebulizer treatments.,['0']
10200005,statistical analysis,"Because the data were skewed, a 95% confidence interval for the difference in median length of stay was also determined.",['0']
10225769,subject and method,"This multicenter study was conducted in Wales (Llandough Hospital NHS Trust, Penarth, and University Hospital of Wales, Cardiff) and England (Hammersmith Hospital, London).",['3a']
10225769,subject and method,"Patients were recruited according to the following inclusion criteria: serum cholesterol of 310 mg/dl or more, plus either tendon xanthomata in the patient or first degree relative or hypercholesterolemia (serum cholesterol of 310 mg/dl or more) or myocardial infarction in a first degree relative younger than 60 or in a second degree relative younger than 50.",['4a']
10225769,subject and method,"Patients of either sex, aged 20-64 years, were eligible if they were shown to have at least 2 abnormal coronary segments (excluding total occlusions and lesions previously subjected to angioplasty) on coronary angiography.",['4a']
10225769,subject and method,"Exclusion criteria included previous coronary artery bypass grafting (CABG), presence of diabetes or other cause of secondary hyperlipidemia, uncontrolled hypertension (diastolic blood pressure >lo0 mm Hg despite treatment), pre-menopausal or, if post-menopausal, using hormonereplacement therapy, and partial ileal bypass.",['4a']
10225769,subject and method,Eligible patients on lipid-lowering drugs had them discontinued and instead were treated with 10 g colestipol (or 8 g cholestyramine) twice daily for one month preceded by a period of 2 weeks on half that dosage.,['5']
10225769,subject and method,All patients maintained their usual lipidlowering diet throughout the trial.,['0']
10225769,subject and method,"At the end of the period on anion-exchange resin therapy, patients were selected randomly to receive simvastatin (40 mg) plus either LDL apheresis fort-nightly (apheresis group) or colestipol (10 g) twice daily (drug LDL apheresis was performed with a Kaneka MA-01 system using twin dextran sulphatekellulose adsorption columns (Liposorber LA-15, Kaneka Corp., Osaka, Japan).",['5']
10225769,subject and method,"On each occasion one plasma volume of plasma was processed, calculated as 4.5% of body weight.",['0']
10225769,subject and method,"Serum lipids, apoA-I and apoB, Lp(a), full blood count, and biochemical profile tests were checked once every three months.",['0']
10225769,subject and method,"On at least one occasion, a rebound curve was constructed from the patient in the apheresis group by assaying lipids and lipoproteins in blood samples.",['0']
10225769,subject and method,"By integrating beneath the rebound curve, the value of the interval means between 2 consecutive procedures was calculated for each patient (Fig.",['0']
10225769,subject and method,1 ).,['0']
10225769,subject and method,An overall value for the interval mean of each variable during the trial was calculated by applying the percentage correction derived from the relevant rebound curve to the mean of all the measured preexchange values in each individual.,['0']
10225769,subject and method,Quantitative coronary angiography was performed within the 6 weeks prior to the random selection and again after a mean duration of 2.1 years.,['0']
10225769,subject and method,"All angiograms were analyzed at Cardialysis (Rotterdam, Holland) using the CAAS system (Pie Medical, Maastricht, Holland).",['0']
10225769,subject and method,Primary angiographic endpoints were a comparigroup).,['6a']
10225769,subject and method,"son between treatment groups of change in mean Yo diameter stenosis (DS) of diseased segments and number of patients on each treatment showing progression, regression, or no changelmixed response.",['12a']
10225769,subject and method,"Progression was defined as a change in DS of 15% or more in a preexisting lesion (20% or more at baseline), or development of new lesion (less than 20% DS at baseline, increasing by 15% or more to 20% DS at follow-up), or development of a complete occlusion.",['0']
10225769,subject and method,Secondary angiographic endpoints were a comparison between treatment groups of change in mean lumen width (mm) averaged over all segments and mean minimum lumen width (mm) of worst lesion per segment (with a change in YO DS of 20% or more at baseline or follow-up).,['6a']
10225769,subject and method,"Statistical analyses were performed in Edinburgh, Scotland.",['0']
10225769,subject and method,"The study was approved by the relevant research ethics committees, and all participating patients gave their informed written consent.",['0']
10221663,study design and characteristic of subject,"As shown in Table 1 , 24 Type 2 diabetic patients with serum total cholesterol (TC) concentration more than 5.18 mmol/l were randomly assinged to two groups, such as 12 patients for pravastatin 10 mg daily (pravastatin group) and 12 patients for probucol 500 mg daily (probucol group) for 8 weeks.",['5']
10221663,study design and characteristic of subject,"Age, gender, body mass index (BMI, kg/m 2 ), smoking habit, and modality of treatment for diabetes were not different between these two groups.",['0']
10221663,study design and characteristic of subject,"We also studied 12 age, gender, and BMI-matched non-diabetic individuals as a non-diabetic normocholesterolemic control group.",['0']
10221663,study design and characteristic of subject,Non-diabetic control subjects were diagnosed according to the WHO criteria based upon 2-h plasma glucose level less than 11.1 mmol/l by 75-g oral glucose tolerance test.,['0']
10221663,study design and characteristic of subject,Five patients of each diabetic group exhibited background retinopathy without both microalbuminuria (albumin excretion rateB 30 mg/min) and any signs of macroangiopathy.,['0']
10221663,study design and characteristic of subject,"In the present study, 19 diabetic patients were treated with oral hypoglycemic agents such as 6 patients with 40-80 mg/day gliclazide and 13 patients with 2.5-10 mg/day glibenclamide and the others were not treated with any hypoglycemic drugs including troglitazone.",['5']
10221663,study design and characteristic of subject,No patient was supplemented with any drugs containing anti-oxidant activity including multivitamins.,['0']
10221663,study design and characteristic of subject,"Fasting plasma glucose (FPG), triglyceride (TG), TC and phospholipid (PL) were measured by standard enzymatic methods.",['0']
10221663,study design and characteristic of subject,"LDL and high density lipoprotein (HDL) cholesterol levels were determined by the precipitation method of lipoprotein [23, 24] .",['0']
10221663,study design and characteristic of subject,"The apoprotein B (apo-B) and HbA 1c concentrations were measured by radioim- munoassay and high performance liquid chromatography (HPLC), respectively.",['0']
10221663,measurement of lpc content,Plasma sample was obtained in the presence of 4 mmol/l EDTA.,['0']
10221663,measurement of lpc content,The fraction containing IDL plus LDL (d =1.006 -1.069 g/ml) was isolated from plasma by differential ultracentrifugation.,['0']
10221663,measurement of lpc content,"Lipids were extracted from the lipoprotein fraction using the method of Bligh and Dyer [25] and then thin-layer chromatography of phosphlipids was performed on silica gel 60 plate with methyl acetate: 1-propanol:chloroform:methanol:0.25% KCl (25:25:10:6), followed by a solvent mixture of chroloform:methanol:water (65:35:6).",['0']
10221663,measurement of lpc content,"Separated lipids were visualized using iodine vapor, scraped off and then the inorganic phosphate content was measured by the method of Bartlett [26] .",['0']
10221663,measurement of lpc content,Each phospholipid was identified by co-migration with standards.,['0']
10221663,measurement of lpc content,"The content of LPC, phosphatidylcholine, phosphatidylethanolamine, and sphinogomyelin in the fraction were expressed as mmol Pi/mg apo-B protein.",['0']
10221663,measurement of lipid hydroperoxide lpo content,The content of LPO in the lipoprotein fraction was measured by ferrous oxidation-xylenol orange version II (FOX2) assay [20] by using an indicator dye xylenol orange which bound to ferric ion to produce a blue-purple complex.,['0']
10221663,measurement of lipid hydroperoxide lpo content,A sample (90 ml) containing 25 mg apo-B protein was transferred into a 1.5 ml eppendorf tube together with 10 ml of methanol in the presence or absence of 10 ml of 10 mmol/l triphenylphosphine (TPP).,['6a']
10221663,measurement of lipid hydroperoxide lpo content,The sample was incubated at room temperature for 30 min and then mixed with 900 ml FOX2 reagent and incubated at room temperature for 30 min.,['0']
10221663,measurement of lipid hydroperoxide lpo content,A ferric-xylenol orange complex was measured by spectrophotometric assay at 540 nm.,['0']
10221663,measurement of lipid hydroperoxide lpo content,The content of lipid peroxidation in the lipoprotein fraction was determined by using the difference between the absorbance of the sample with and without addition of TPP.,['0']
10221663,measurement of lipid hydroperoxide lpo content,The results are given in hydrogen peroxides equivalents per mg of apo-B protein.,['0']
10221663,statistical analysis,Data are expressed as means9S.E.,['0']
10221663,statistical analysis,Statistical analysis was performed using paired and unpaired Student's t-test.,['12a']
10221663,statistical analysis,Differences with a P-value less than 0.05 were considered significant.,['0']
10223782,patient and method,Study design and patient entry criteria.,['4a']
10223782,patient and method,"This was a multicenter, randomized, double-blind, placebocontrolled trial conducted at the ""Ramón González Coro"" and ""Elpidio Berovides"" Policlinical Centers and at the Medical-Surgical Research Center (Havana City, Cuba).",['3a']
10223782,patient and method,The protocol was approved by the Medical-Surgical Research Center Ethics Committee.,['0']
10223782,patient and method,Men and women from 25 to 75 years old were enrolled in the study after they gave written informed consent.,['0']
10223782,patient and method,"All patients with serum total cholesterol >5.2 mmol/L and ≥2 additional coronary risk factors as defined in the protocol (family history of coronary artery disease, previous history of myocardial infarction or angina, men >45 years old, hypertension, cigarette smoking, diabetes mellitus, obesity, or postmenopausal women) were enrolled in the study.",['4a']
10223782,patient and method,Patients were instructed to start or follow a step-1 cholesterol-lowering diet for 5 weeks.,['0']
10223782,patient and method,Other lipidlowering therapy had to be discontinued throughout the study.,['0']
10223782,patient and method,"After this diet-only period, 2 consecutive lipid profiles were done within the next 15 days and percentage changes of the 2 consecutive determinations were restricted ≤10%.",['0']
10223782,patient and method,Baseline levels of all the lipid variables were considered to be the average of the consecutive determinations.,['12a']
10223782,patient and method,"When blood samples for the second determination were drawn, aliquots for other laboratory tests were also obtained.",['0']
10223782,patient and method,"Patients were excluded if active renal diseases, diagnosed neoplastic diseases, severe hypertension (diastolic pressure ≥120 mm Hg), or uncontrolled diabetes were present or if they had had a myocardial infarction, stroke, or coronary surgery in the 3 months before the study.",['4a']
10223782,patient and method,"Because thyroid dysfunction was not defined as exclusion criteria, thyroid-stimulating hormone determinations were not performed at baseline to evaluate that condition.",['4a']
10223782,patient and method,Pregnant or nursing women were also excluded from the trial.,['4a']
10223782,patient and method,"If exclusion criteria were absent, those patients with serum levels of LDL cholesterol >3.4 mmol/L, total cholesterol >5.2 mmol/L, and triglycerides <4.52 mmol/L after dietary stabilization were included in the study.",['4a']
10223782,patient and method,"After this diet-only period patients were randomized to receive, under double-blind conditions, 5 mg policosanol or placebo tablets to be taken once a day with the evening meal for 12 weeks (visit 2).",['5']
10223782,patient and method,A complete physical examination was performed at baseline.,['0']
10223782,patient and method,"No special restrictions for any concomitant medication were defined in the protocol, except the consumption of any other lipid-lowering medication different from the study medication.",['0']
10223782,patient and method,The consumption of concomitant medications was recorded at each visit.,['6a']
10223782,patient and method,An interim examination was performed after 6 weeks of therapy.,['7b']
10223782,patient and method,"At 12 weeks, all continued to receive the same treatment and the patients received 10 mg policosanol or placebo tablets that were taken with the evening meal for the next 12 weeks.",['5']
10223782,patient and method,"During the second step, the groups remained the same and only the dose of 5 mg policosanol doubled.",['5']
10223782,patient and method,Another interim checkup was done at week 18 and all the controls were repeated once at the final visit.,['7b']
10223782,patient and method,"Physical examinations were performed at each visit, and requests for adverse events and assessment for drug compliance were obtained from visits 3 to 6.",['6a']
10223782,patient and method,Lipid profile determinations and laboratory safety analysis were performed at baseline and after 12 and 24 weeks of therapy.,['0']
10223782,patient and method,Laboratory analysis.,['0']
10223782,patient and method,Blood samples were drawn after subjects had fasted for 12 hours.,['0']
10223782,patient and method,"Total cholesterol and triglycerides were determined by colorimetric enzymatic methods with use of reagent kits from Boehringer Mannheim (Mannheim, Germany).",['0']
10223782,patient and method,Levels of high-density lipoprotein (HDL) cholesterol were determined according to the cholesterol content present in the supernatant obtained after β-lipoprotein precipitation.,['0']
10223782,patient and method,37 LDL cholesterol values were calculated with the Friedewald equation.,['0']
10223782,patient and method,38 The primary efficacy variables were the changes in LDL cholesterol and total cholesterol values.,['6a']
10223782,patient and method,Treatment was considered to be effective only if LDL cholesterol levels were reduced by at least 10% compared with baseline.,['0']
10223782,patient and method,"39, 40 Laboratory safety tests included glucose, creatinine, aspartate aminotransferase (AST), and alanine aminotransferase (ALT).",['0']
10223782,patient and method,"All laboratory tests were performed with the Hitachi 705 autoanalyzer (Tokyo, Japan) located at the laboratory of the Center for Surgical and Medical Research (Havana, Cuba).",['0']
10223782,patient and method,A systematic quality control was performed.,['0']
10223782,patient and method,Safety and tolerability.,['0']
10223782,patient and method,"Data from the physical examination, laboratory tests, and the request for adverse   ) n = 59 (13.5%) Nitrates n = 25 (11.5%) n = 28 (12.8%) n = 53 (12.1%) Oral hypoglycemic drugs n = 24 (11.1%) n = 14 (6.4%) n = 38 (8.7%) Neuroleptics n = 17 (7.8%) n = 19 (8.7%) n = 36 (8.2%) Dipyridamole n = 16 (7.3%) n = 18 (7.2%) n = 34 (7.8%) Methyldopa n = 15 (6.9%) n = 12 (5.5%) n = 27 (6.2%) Antidepressants n = 12 (5.5%) n = 7 (3.2%) n = 19 (4.3%) Digoxin n = 10 (4.6%) n = 7 (3.2%) n = 17 (3.9%) HDL, High-density lipoprotein.",['0']
10223782,patient and method,*Mean ± SD.,['0']
10223782,patient and method,†P = .07 (not significant).,['0']
10223782,patient and method,All the comparisons were not significant (Fisher's exact probability test and χ 2 test).,['12a']
10223782,patient and method,‡Includes only those concomitant medications consumed by >3% of study patients.,['0']
10223782,patient and method,events were included for the analysis of drug safety and tolerability.,['0']
10223782,patient and method,The incidence of adverse events in each group was summarized by body system and individual events.,['6a']
10223782,patient and method,"Adverse events predefined to be serious were fatal events, those that were disabling, and those that led to or prolonged hospitalization.",['6a']
10223782,patient and method,Statistical analysis.,['0']
10223782,patient and method,"Within-group comparisons of continuous variables were made with use of the paired t test, and the comparisons between groups were performed with use of the t test for independent samples.",['12a']
10223782,patient and method,"Comparisons between groups of categoric data were made with the Fisher exact test and the χ 2 test, as necessary.",['12a']
10223782,patient and method,All patients with data were included in the analysis.,['0']
10223782,patient and method,"All statistical tests were 2 tailed, with significance taken at α = .05.",['12a']
10223782,patient and method,"Statistical analyses were performed with use of the CSS statistical package program (StatSoft, Tulsa, Oklahoma).",['0']
10232720,method,The study was approved by the Human Subjects Review Committee of The Long Island Jewish Medical Center.,['0']
10232720,method,"Written informed consent was obtained from the parents of 92 children, ASA physical status I or II, between one and eighteen years of age undergoing tonsillectomy, with or without adenoidectomy.",['0']
10232720,method,Children were excluded from this study if they had a history of adverse reaction or allergy to any of the proposed study drugs or pronounced motion sickness.,['4a']
10232720,method,Children received only clear fluids after midnight until three hours prior to surgery.,['0']
10232720,method,The children were not premedicated.,['5']
10232720,method,Most younger children were accompartied to the operating room by a parent.,['0']
10232720,method,"Most patients < 12 yr of age had mask induction of anesthesia with N20 (70%), 02 (30%) and increasing concentrations of halothane.",['0']
10232720,method,"Once a patient was anesthetized, an iv fluid infusion was established and the halothane was discontinued.",['5']
10232720,method,Patients > 8 yr of age had iv induction with propofol.,['0']
10232720,method,"Both groups then received 0.3 mg.kg -1 mivacurium and 2-4 lag.kg -I fentanyl iv, and 30 mg.kg -1 acetaminophen pr (to a maximum dose 650 mg).",['5']
10232720,method,"After establishment of neuromuscular blockade, an endotracheal tube was inserted and the lungs were mechanically ventilated.",['0']
10232720,method,"Anesthesia was maintained with a continuous infusion of 120 -140 ~ag-kg-l.min -1 propofol with N20 (70%), 02 (30%) in order to maintain vital signs within 20% of baseline values.",['0']
10232720,method,Neuromuscular block was maintained with supplemental mivacurium as clinically indicated.,['0']
10232720,method,Patients were randomized at the time of enrollment in the study to receive either 0.1 mg-kg -I ondansetron iv or placebo (normal saline) which was administered after intravascular access was established and prior to the start of the procedure.,['5']
10232720,method,The study physician and patient were blinded to the agent being administered.,['11a']
10232720,method,The randomization procedure was a fixed block design and it was carried out as follows as follows: The study drugs were supplied to the anesthesiologist in vials provided by the hospital pharmacy.,['0']
10232720,method,"The vials were labeled A, B, C, and D; two of the vials contained 25 ml ondansetron and two contained 25 ml normal saline.",['0']
10232720,method,Ondansetron and saline were indistinguishable in appearance.,['11b']
10232720,method,"Before the study, the letters A, B, C, or D were written on 25 cards (for a total of 100 cards); the cards were shuffled extensively and each was placed inside a small envelope which was then placed inside a large envelope; then the envelopes were shuffled extensively.",['0']
10232720,method,"As each patient was entered into the study, the anesthesiologist drew one envelope and administered the liquid (medication or placebo) according to the letter code.",['5']
10232720,method,Patients received iv Plasma-Lyte A for fluid maintenance and to restore the calculated fasting deficit as well as to compensate for measured blood loss.,['0']
10232720,method,"At the end of surgery, gastric contents were evacuated in all patients.",['0']
10232720,method,"At the surgeon's discretion, some patients (72%) received bupivacaine (0.25%) injected into the tonsillar bed; the rates of bupivicaine administration did not differ between the groups.",['0']
10232720,method,Neuromuscular function was allowed to recover spontaneously in all patients; none required antichoLinesterase.,['6a']
10232720,method,"After tracheal extubation, patients were transferred to the postanesthesia care unit (PACU).",['0']
10232720,method,Postoperative pain was treated with 1-2 mg-kg -1 fentanyl iv.,['5']
10232720,method,"After the children had satisfactorily recovered from the anesthetic and fulfilled routine discharge criteria, they were discharged to the Ambulatory Surgical Unit (ASU) to be reunited with their families.",['0']
10232720,method,"Fluids were offered and encouraged by the nursing staff during the recovery period; however, ingestion of a predetermined volume of oral fluid was not demanded.",['0']
10232720,method,"All episodes of emesis, defined as vomiting or non-productive retching, were recorded in the PACU and the ASU, and parents were contacted by telephone on the day following surgery to determine whether emesis occurred after leaving the hospital.",['6a']
10232720,method,The telephone response rate was 100%.,['0']
10232720,method,"Incidents of nausea alone were not recorded, because it was felt that parents' assessments might be overly subjective.",['6a']
10232720,statistical analysis,The primary endpoint for the study was whether emesis occurred in the 24 hr period following surgery.,['6a']
10232720,statistical analysis,Our hypothesis predicted that fewer children in the group receiving propofol and ondansetron would experience emesis than in the group receiving propofol plus placebo.,['0']
10232720,statistical analysis,The data were analyzed using a onetailed Fisher Exact Test.,['12a']
10232720,statistical analysis,From our earlier study we estimated that approximately 25% of patients undergoing tonsillectomy surgery at our institution with a propofol-based anesthetic would vomit within 24 hr.,['0']
10232720,statistical analysis,3 We predicted that the use of ondansetron in these patients would reduce the incidence of vomiting to 5%.,['0']
10232720,statistical analysis,"Power analysis showed that approximately 50 children were necessary, in each group, to demonstrate an effect with a = 0.05 and power = 80%.",['7a']
10232720,statistical analysis,An interim analysis was planned half-way through the study.,['7b']
10211015,patient and method,The study was approved by the Hospital Ethics Committee and written informed consent was obtained from each patient.,['0']
10211015,patient and method,Gastric and sigmoid mucosal pH was monitored in the peri-and postoperative periods in 20 patients undergoing elective abdominal aortic surgery because of aorto-iliac occlusive disease or abdominal aortic aneurysm.,['0']
10211015,patient and method,There were no exclusion criteria.,['4a']
10211015,patient and method,"To test the effect of epidural analgesia on splanchnic blood flow, patients were allocated randomly to one of two groups: 10 patients received postoperative epidural analgesia with bupivacaine after baseline measurement of hepatosplanchnic blood flow, and the remaining 10 patients served as controls.",['5']
10211015,patient and method,Clinical data of the patients are shown in table 1.,['0']
10211015,patient and method,"Before induction of general anaesthesia, an epidural catheter was inserted in each patient, except for one patient in the control group who received chronic anticoagulant therapy.",['0']
10211015,patient and method,The epidural cathether was used for postoperative analgesia in these 19 patients after completion of the study.,['0']
10211015,patient and method,The epidural catheter was inserted at the T12-L1 interspace using a standard loss of resistance technique and the catheter was inserted 5 cm inside the epidural space.,['0']
10211015,patient and method,A test dose of 50 mg of 1% lidocaine with epinephrine (adrenaline) 5 g kg 91 was injected through the catheter.,['5']
10211015,patient and method,"General anaesthesia was induced with fentanyl 20 g kg 91 and a mixture of alcuronium 0.125 mg kg 91 , pancuronium 0.075 mg kg 91 and midazolam 0.07 mg kg 91 .",['5']
10211015,patient and method,"Anaesthesia was maintained with continuous infusion of fentanyl 0.07 g kg 91 min 91 , alcuronium 1 g kg 91 min 91 and midazolam 0.6 g kg 91 min 91 , and was supplemented with thiopental (thiopentone) and isoflurane.",['5']
10211015,patient and method,"Monitoring included pulmonary artery catheterization and we aimed to maintain cardiac index 92.0 litre min 91 m 92 by infusing crystalloids, colloids and blood.",['5']
10211015,patient and method,None of the patients received inotropic agents.,['0']
10211015,patient and method,"During the surgery, sodium nitroprusside was used to treat systemic hypertension when systolic arterial pressure exceeded 160 mm Hg, despite supplementation of anaesthesia with thiopental or isoflurane.",['0']
10211015,patient and method,"After operation, sodium nitroprusside was also used to treat hypertension when systolic arterial pressure exceeded 160 mm Hg.",['0']
10211015,patient and method,The arterial pressure limit was defined by the surgeon in charge of the operation.,['0']
10211015,patient and method,"One patient received nitroglycerine in the perioperative period for a short time because of ST-elevation in the ECG, but after operation there were no signs of myocardial injury and recovery was uneventful.",['0']
10211015,patient and method,The aorta was clamped above the renal arteries in one patient and below the renal arteries in the remaining 19 patients.,['0']
10211015,patient and method,Duration of aortic clamp was 94<35 min.,['0']
10211015,patient and method,In three patients (two in the control group and one in the epidural group) the aorta was occluded only partially.,['0']
10211015,patient and method,No reimplantations of the inferior mesenteric artery were performed.,['0']
10211015,tonometry,"To assess mucosal perfusion, both gastric mucosal PCO 2 and pH, and sigmoid mucosal PCO 2 and pH were measured in the peri-and postoperative periods by gastric and sigmoid tonometers (Tonomitor, Tonometrics, Worcester, MA, USA).",['0']
10211015,tonometry,Equilibration time was 30 min during aortic clamping and 60-90 min for other samples.,['0']
10211015,tonometry,16 Gastric and sigmoid mucosal pH was calculated using a modification of the Henderson-Hasselbach equation.,['0']
10211015,tonometry,"Intramucosalarterial PCO 2 difference was calculated as gastric/ sigmoid intramucosal PCO 2 -arterial PCO 2 , and arterial-intramucosal pH difference as arterial pHgastric/sigmoid intramucosal pH.",['0']
10211015,tonometry,Two patients in the epidural group and one patient in the control group received a H 2 receptor antagonist at induction of anaesthesia because of a previous history of gastric ulcer.,['4a']
10211015,tonometry,"In critically ill patients, the use of H 2 receptor antagonists has not been demonstrated to influence gastric mucosal pH values or to improve the reproducibility of determination of gastric mucosal pH.",['0']
10211015,tonometry,"17 18 The gastric tonometer was inserted after induction of anaesthesia, and the correct position was verified by the surgeon.",['0']
10211015,tonometry,The sigmoid tonometer was inserted into the rectum and manipulated to the mid-sigmoid position at laparotomy.,['0']
10211015,tonometry,"The correct position of the tonometers was confirmed again just before closure of the abdomen, and for the gastric tonometer also by chest x-ray obtained in the intensive care unit.",['0']
