,PMCID,sentence_id,CONSORT_Item,labels,section,text
21,PMC3002766,S69,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Outcomes,"patients were evaluated at randomisation/baseline and every 4 weeks during treatment (or premature withdrawal, week 24 and, if applicable, 12 weeks after healing of the cardinal ulcer), with dus assessed at each study visit."
22,PMC3002766,S70,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Outcomes,safety was continually monitored.
23,PMC3002766,S72,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical methods,"efficacy analyses were performed on all treated patients using sas software (sas institute, cary, north carolina, usa)."
24,PMC3002766,S73,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical methods,means±ses are presented for numerical variables and kaplan–meier estimates for time-to-event variables.
25,PMC3002766,S74,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical methods,treatment effects for the primary end points were evaluated using the pitman permutation (new dus) and log-rank test with asymptotic approximation (time to healing of the cardinal ulcer).
26,PMC3002766,S75,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical methods,"missing data on new dus were imputed using extrapolation, with the incidence rate of new dus at the last assessment corrected for the missing time period."
27,PMC3002766,S76,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical methods,the worst of either the calculated number or observed values at week 24 was used for patients who prematurely discontinued study treatment.
28,PMC3002766,S77,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical methods,"patients with no valid assessment post baseline (three patients on bosentan, one on placebo) were excluded from the main analysis."
29,PMC3002766,S78,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical methods,treatment effects for new dus in predefined subgroups were presented as point estimates and 95% two-sided cis.
30,PMC3002766,S79,"['12a', '12b']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical methods,"for exploratory purposes, statistical tests of treatment difference were provided for planned secondary/exploratory and unplanned post hoc efficacy analyses and included the pitman permutation (for changes from baseline), the fisher exact test (for proportions) and the log-rank test (for times to event), each performed without correction for multiple testing."
31,PMC3002766,S80,"['12a', '12b']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical methods,"placebo-corrected changes from baseline, rr and hrs from cox modelling were each reported with 95% cis where appropriate."
32,PMC3002766,S81,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical methods,"safety and baseline data were summarised descriptively, with no statistical testing planned or given."
33,PMC3002834,S49,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study subjects,"we studied a subgroup of crs patients from the epocares trial (clinicaltrials.gov, nct00356733), and healthy controls of comparable age and gender."
34,PMC3002834,S50,['4a'],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study subjects,a detailed description with inclusion and exclusion criteria of the study has previously been published.14
35,PMC3002834,S51,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study subjects,the protocol was approved by the medical ethics committee and all patients gave informed consent.
36,PMC3002834,S52,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study subjects,procedures were in accordance with the helsinki declaration.
37,PMC3002834,S53,['4a'],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study subjects,"patients with mild anaemia (women: 6.4–7.4 mmol/l; men: 6.4–7.8 mmol/l), moderate ckd (estimated creatinine clearance 20–70 ml/min, cockcroft–gault formula) and chf (functional nyha class ii–iv, based on symptoms, signs and objective abnormality on echocardiography,15 reduced ejection fraction (<50%) or left ventricular end-diastolic volume index <97 ml/m2 with evidence of diastolic left ventricular dysfunction16) were included."
38,PMC3002834,S55,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Study design,epc levels and function were compared between 45 crs patients at baseline and 20 healthy controls.
39,PMC3002834,S56,['3a'],"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study design,"the effects of epo treatment were evaluated in an open-label, randomised design."
40,PMC3002834,S57,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Study design,"patients received epo treatment (50 iu/kg/week; neorecormon, roche pharmaceuticals, woerden, netherlands) or standard treatment without epo for one year."
41,PMC3002834,S58,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Study design,"short-term effects of epo (n =30) versus no epo (n =15) were evaluated after 18 days (3 days after third epo injection), when epo treatment was not yet expected to result in a haematopoietic response."
42,PMC3002834,S59,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Study design,"long-term (52 week) effects of epo were assessed in a subgroup of epo-treated patients, who were allowed to increase haemoglobin (hb) levels up to 8.5 mmol/l for men and 8.3 mmol/l for women (n =13), and a non epo-treated group (n =13)."
43,PMC3002834,S61,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Plasma measurements,"serum epo levels were measured by sandwich chemiluminescent immunoassay (immulite 2000 platform, siemens healthcare diagnostics, breda, netherlands)."
44,PMC3002834,S62,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Plasma measurements,"endothelial dysfunction, epc mobilising factors and inflammation markers were measured using elisa (e-selectin, vascular cell adhesion molecule-1 (vcam-1), interleukin (il)-6, vegf, sdf-1α (r&d systems, minneapolis, minnesota, usa) and thrombomodulin (diaclone, stamford, connecticut, usa)) or multiplex immunoassay17 (intercellular adhesion molecule-1 (icam-1) and monocyte chemotactic protein-1 (mcp-1) (bio-rad laboratories,hercules, california, usa))."
45,PMC3002834,S63,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Plasma measurements,"high sensitivity c reactive protein (hscrp) was determined by particle-enhanced immunonephelometry (standard cardio-phase hscrp for bnii, dade behring holding, liederbach, germany)."
46,PMC3002834,S64,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Plasma measurements,"n-terminal prohormone of brain natriuretic peptide (nt-probnp) was measured using electrochemiluminescense immunoassay (cobas ca6000, roche, mannheim, germany)."
47,PMC3002834,S65,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Plasma measurements,samples were measured in duplicate and averaged for analysis.
48,PMC3002834,S67,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Circulating EPC levels,"circulating epc were defined as cells positive for haematopoietic stem cell marker cd34 and endothelial marker kinase insert domain receptor (kdr; ie, vegf receptor-2)."
49,PMC3002834,S68,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Circulating EPC levels,this cd34+kdr+-epc has previously shown clinical importance by predicting cardiovascular events and death in cardiovascular risk populations.18 19
50,PMC3002834,S69,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Circulating EPC levels,"blood (100 μl) was incubated with anti-cd34-fitc (bd pharmingen, california, usa), anti-kdr-pe (r&d systems) and anti-cd45-pe-cy7 (bd pharmingen) antibodies for 45 min. erythrocytes were lysed and analysed by flow cytometry (beckman coulter, california, usa)."
51,PMC3002834,S70,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Circulating EPC levels,circulating hsc and epc were identified as cd34+ and cd34+kdr+ cells in the lymphocyte region of the forward/sideward scatter plot.
52,PMC3002834,S71,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Circulating EPC levels,"cell numbers were quantified relative to 105 granulocytes, identified as cd45+ cells with a typical granulocyte distribution."
53,PMC3002834,S72,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Circulating EPC levels,measurements were performed in duplicate and results were averaged.
54,PMC3002834,S73,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Circulating EPC levels,isotype-stained samples served as negative controls.
55,PMC3002834,S75,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outgrowth of EPC in culture,epc outgrowth from mononuclear cells (mnc) was assessed as described previously.3
56,PMC3002834,S76,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outgrowth of EPC in culture,"in brief, mnc were isolated from blood using ficoll density gradient separation (histopaque 1077, sigma, st louis, missouri, usa)."
57,PMC3002834,S77,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outgrowth of EPC in culture,"to evaluate epc outgrowth in culture, 107 mnc/well were seeded on a human fibronectin (sigma) coated 6-well plate in egm-2 (cambrex, baltimore, maryland, usa), supplemented with accompanying aliquots, 20% fetal calf serum (invitrogen, carlsbad, california, usa), 100 ng/ml recombinant vegf-165 (r&d systems) and antibiotics."
58,PMC3002834,S78,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outgrowth of EPC in culture,medium was changed after 4 days to wash non-adherent cells away.
59,PMC3002834,S79,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outgrowth of EPC in culture,"after 7 days, cultured epc in selected wells were placed on serum free medium (ebm-2 with hegf, hydrocortisone, ga-1000, r3-igf-1, ascorbic acid, heparin and antibiotics) overnight."
60,PMC3002834,S80,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outgrowth of EPC in culture,"conditioned medium was stored for functional experiments and cultured epc were detached by trypsin and cell scraping, and automatically counted using a haemocytometer."
61,PMC3002834,S82,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",In vitro scratch wound assay,the potential of epc outgrowth to excrete paracrine factors that stimulate endothelial cell migration was assessed by in vitro scratch wound assay.20
62,PMC3002834,S83,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",In vitro scratch wound assay,"in brief, epc outgrowth medium was placed on a mechanically scratched confluent human microvascular endothelial cell layer."
63,PMC3002834,S84,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",In vitro scratch wound assay,"after 6 h, the extent of scratch closure relative to the starting width was compared between study groups using light photography."
64,PMC3002834,S85,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",In vitro scratch wound assay,each sample was measured in two separate wells and two picture fields per well were examined.
65,PMC3002834,S86,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",In vitro scratch wound assay,results were averaged for data analysis.
66,PMC3002834,S88,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,data analysis was performed using spss v.15.0 for windows.
67,PMC3002834,S89,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,data distribution was tested by the kolmogorov–smirnov test.
68,PMC3002834,S90,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,data are expressed as mean ± sd for parametric data and as median (iqr) for non-parametric data.
69,PMC3002834,S91,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,differences between groups were analysed using student's t test or the mann–whitney test.
70,PMC3002834,S92,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,fisher's exact test was used to analyse whether proportions of categories varied by group.
71,PMC3002834,S93,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,multiple group comparisons were performed using anova with lsd post-hoc testing for which non-parametric data were log-transformed.
72,PMC3002834,S94,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,correlations were measured by pearson's or spearman's correlation coefficient where appropriate.
73,PMC3002834,S95,['12a'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,multivariate determinants of log-transformed progenitor cell counts were identified by stepwise multiple linear regression analysis.
74,PMC3002834,S96,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Statistical analysis,a value of p <0.05 was considered statistically significant.
75,PMC3016167,S100,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study treatments,"mesobuthus tamulus is not the only venomous scorpion in the state of western maharashtra, but it may be the only dangerously venomous scorpion in the mahad area.24 25"
76,PMC3016167,S101,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study treatments,haffkine biopharma (mumbai) has been manufacturing monovalent anti-scorpion venom serum f(ab)2 against mesobuthus tamulus since 1997 and it has been available for clinical use in a rural setting since 2002.
77,PMC3016167,S102,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study treatments,studies conducted at different times show that the antivenom is potent; 1 ml of reconstituted anti-scorpion venom serum neutralised 1.2 mg of indian red scorpion venom by intravenous route in an in vivo study in mice.35
78,PMC3016167,S103,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Study treatments,"the maximum volume of venom injected in one sting by the indian red scorpion is 1.5 mg, and each ml of antivenom is capable of neutralising 1.2 to 1.5 mg of venom.36"
79,PMC3016167,S104,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Study treatments,"a single 30 ml dose of haffkine biopharma monovalent antivenom (batch no ss811001, manufacturing date november 2008, expiry date april 2013) was added to 100 ml of normal saline, which was infused intravenously over 30 minutes irrespective of patient’s age."
80,PMC3016167,S105,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Study treatments,"during infusion the patient was closely observed for reaction to the serum in the form of sudden onset of vomiting, urticaria, hypotension, tachycardia, bronchospasm, angioneurotic oedema, or anaphylaxis."
81,PMC3016167,S106,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Study treatments,"oral prazosin (batch no ml.nh 138 batch no gk 60372 manufactured 04/2006, expiry 03/2011, and ml.nh 138 batch no gk 80282 manufactured 02/2008, expiry 01/2013) was given at a dose of 250 µg in children up age 18 years and 500 µg in adults."
82,PMC3016167,S107,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Study treatments,the same dose was repeated at intervals of 3 hours until the extremities were cold.
83,PMC3016167,S108,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Study treatments,similar doses were administered in both randomisation groups.
84,PMC3016167,S109,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Study treatments,dehydration owing to vomiting and sweating was corrected by intravenous crystalloid solution.
85,PMC3016167,S110,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Study treatments,the prazosin treated group required longer duration and larger volumes of intravenous crystalloid solution than the antivenom plus prazosin group.
86,PMC3016167,S111,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Study treatments,patients who developed grade 3 and 4 symptoms were transferred to the intensive care unit.
87,PMC3016167,S112,['5'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Study treatments,before discharge all participants were immunised for tetanus.
88,PMC3016167,S114,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outcomes,the primary end point was the proportion of patients achieving resolution of the grade 2 clinical syndrome at the end of 10 hours after administration of the study drugs and prevention of deterioration to grade 3 and 4.18 21 37
89,PMC3016167,S115,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Outcomes,"secondary end points were time required for complete resolution of clinical syndrome, prevention of deterioration to higher grade, doses of prazosin required within 10 hours and overall, and adverse events."
90,PMC3016167,S46,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Trial design,this study and trial were done without the help of any funding agency.
91,PMC3016167,S47,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Trial design,anti-scorpion antivenom was purchased from haffkine biopharma mumbai and given to participants in this trial.
92,PMC3016167,S48,['4a'],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Trial design,"we proposed to include people admitted with scorpion sting over one year, between march 2009 and february 2010."
93,PMC3016167,S49,"['3a', '4b']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Trial design,"this was a randomised (1:1 allocation ratio), parallel group, open label, controlled trial conducted at bawaskar hospital in mahad, a region of india with a population of 20 000, situated 180 km south of mumbai on the mumbai-goa highway."
94,PMC3016167,S50,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Trial design,an independent data and safety monitoring board monitored the trial and had access to the all data.
95,PMC3016167,S51,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Trial design,statistical analysis was done by a statistician in collaboration with the investigators.
96,PMC3016167,S52,['0'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Trial design,the study design was approved by the independent ethics committee of byl medical college mumbai (iec/08/39) and all participants provided written informed consent.
97,PMC3016167,S54,['6a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Sample size,the primary efficacy variable was the time required for recovery after venomous scorpion sting.
98,PMC3016167,S55,['7a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",Sample size,"we estimated that 35 patients in each group would be required to achieve 80% power; α=0.05 to detect a mean difference of four hours in the recovery time between the groups, assuming a mean recovery time of 10 hours (sd 2.5 hours) in the antivenom plus prazosin group and 14 (sd 3) hours for the prazosin alone group."
99,PMC3016167,S57,"['8a', '8b']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",Randomisation,a statistician generated the sequentially numbered randomisation list with random block sizes of 4 4 2 4 4 6 2 4 6 6 6 8 4 8 2 using www.randomisation.com.
100,PMC3016167,S58,['8a'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",Randomisation,this process can be reproduced by using seed 22491 (6 march 2009).
